Ticker,Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
ASML,2020-01-22,2.71,2.69,-0.65
ASML,2020-04-15,0.94,0.93,-0.85
ASML,2020-07-15,2.06,1.79,-13.18
ASML,2020-10-14,2.26,2.53,11.93
ASML,2021-01-20,2.46,3.23,31.43
ASML,2021-04-21,2.61,3.2,22.63
ASML,2021-07-21,2.52,2.52,-0.05
ASML,2021-10-20,4.01,4.26,6.18
ASML,2022-01-19,3.76,3.93,4.63
ASML,2022-04-20,1.68,1.73,2.79
ASML,2022-07-20,3.52,3.54,0.63
ASML,2022-10-19,3.46,4.29,23.88
ASML,2023-01-25,4.33,4.6,6.18
ASML,2023-04-19,4.16,4.95,19.13
ASML,2023-07-19,4.61,4.93,6.86
ASML,2023-10-18,4.63,4.81,3.86
ASML,2024-01-24,4.78,5.2,8.88
ASML,2024-04-17,2.79,3.11,11.55
ASML,2024-07-17,3.69,4.01,8.54
ASML,2024-10-15,4.86,5.28,8.61
ASML,2025-01-29,6.73,6.84,1.57
ASML,2025-04-16,5.79,6.0,3.71
ASML,2025-07-16,5.25,5.9,12.36
ASML,2025-10-15,5.37,5.49,2.14
ASML,2026-01-28,7.55,7.34,-2.72
ASML,2026-04-15,6.62,7.15,7.99
AVGO,2016-03-03,0.23,0.24,4.84
AVGO,2016-06-02,0.24,0.25,6.45
AVGO,2016-09-01,0.28,0.29,4.38
AVGO,2016-12-08,0.34,0.35,2.73
AVGO,2017-03-01,0.35,0.36,4.39
AVGO,2017-06-01,0.35,0.37,5.47
AVGO,2017-08-24,0.4,0.41,1.77
AVGO,2017-12-06,0.45,0.46,1.65
AVGO,2018-03-15,0.51,0.51,1.07
AVGO,2018-06-07,0.47,0.49,2.99
AVGO,2018-09-06,0.48,0.5,3.25
AVGO,2018-12-06,0.56,0.59,4.8
AVGO,2019-03-14,0.52,0.56,6.12
AVGO,2019-06-13,0.52,0.52,0.55
AVGO,2019-09-12,0.51,0.52,0.72
AVGO,2019-12-12,0.54,0.54,0.63
AVGO,2020-03-12,0.54,0.53,-2.02
AVGO,2020-06-04,0.51,0.51,0.03
AVGO,2020-09-03,0.52,0.54,4.0
AVGO,2020-12-10,0.62,0.64,2.42
AVGO,2021-03-04,0.66,0.66,0.58
AVGO,2021-06-03,0.65,0.66,2.47
AVGO,2021-09-02,0.69,0.7,0.72
AVGO,2021-12-09,0.78,0.78,0.51
AVGO,2022-03-03,0.81,0.84,3.01
AVGO,2022-05-26,0.87,0.91,4.05
AVGO,2022-09-01,0.95,0.97,1.92
AVGO,2022-12-08,1.03,1.05,1.64
AVGO,2023-03-02,1.02,1.03,1.65
AVGO,2023-06-01,1.01,1.03,1.75
AVGO,2023-08-31,1.04,1.05,1.03
AVGO,2023-12-07,1.1,1.11,0.94
