date,delta_dollars,gamma_dollars,vega_dollars,theta_dollars,open_legs,n_tickers
2023-09-19,-1558.346495107609,700.1921095957603,-358.87620995050423,-352.18232748190104,44,22
2023-09-20,-2106.3175140882277,634.8379301602275,-360.27569715325694,-320.54818317967784,48,22
2023-09-21,-2549.8804447840675,559.0794253302141,-183.0578192371095,-313.34577919562366,48,22
2023-09-22,-2618.512410205475,543.435492277192,-207.471540428683,-305.72194009097035,48,22
2023-09-25,-2534.0858737321787,573.0216550159236,-203.71882531042,-309.38013685962,48,22
2023-09-26,-2808.726574922432,511.8599496587939,-119.75436513732802,-290.309376374319,48,22
2023-09-27,-2865.9759362537334,492.21850488868506,-118.03455866746911,-252.7136554496879,46,22
2023-09-28,-2568.610670766554,545.2125783011052,-93.52556377855878,-340.6617950499949,46,22
2023-09-29,-2600.142600764785,564.7781142264243,-108.90009100681851,-345.9089104966075,44,22
2023-10-02,-2206.1639662917605,592.9667039589779,-115.82601792956939,-398.4412707789463,44,22
2023-10-03,-2701.050111644655,532.6901379298706,-36.30484058004402,-405.9448900830187,44,22
2023-10-04,-2350.413226536627,612.7155335164227,-37.2469764733901,-416.869191947986,44,22
2023-10-05,-2357.9407649215836,605.2521258893988,-78.0253283575369,-422.4547065381476,44,22
2023-10-06,-1909.9006943322834,633.8364751183647,-64.29858694964702,-430.04394393776914,44,22
2023-10-09,-1836.6020222635175,642.7509286628657,-62.28791691572299,-488.553811500165,44,22
2023-10-10,-1662.505684060174,641.7254940499397,-65.00486455822109,-484.0634742006713,44,22
2023-10-11,-1152.6200795663333,380.75201434478015,7.8236867294583545,-84.9500405292716,54,22
2023-10-12,-1258.0971225064159,362.3864400604562,-5.822491438257377,-45.22761002885358,54,22
2023-10-13,-1449.4550717487637,301.0162531335573,81.11601032198458,24.603096621965083,54,22
2023-10-16,-1378.538836591536,293.1110234012352,89.91876396476789,326.2517409734554,54,22
2023-10-17,392.60760518863196,327.29689625151104,452.99518466842136,552.9803601276776,61,23
2023-10-18,1319.5084891512809,118.96346716201694,456.4683127321135,885.7834852852797,62,23
2023-10-19,994.8240202696799,134.7380261322379,489.86420824979814,234.99510321109824,67,24
2023-10-20,-692.7330092310478,475.80437333967416,597.1139237428926,-100.4369185769036,62,24
2023-10-23,-431.2090423054334,479.05623391806444,496.0255065683833,162.78299206629663,64,23
2023-10-24,325.13707319646267,424.4306220097738,239.6295824678558,500.72448846489016,70,24
2023-10-25,-510.79898725243686,372.52941374941565,200.90908165716965,551.8325596857842,72,24
2023-10-26,-255.42922282376182,217.05616516706758,181.3063889779255,401.7712816893934,76,24
2023-10-27,-1121.5868837694165,450.2521460168107,137.37705776458566,-205.1994093014488,66,24
2023-10-30,-954.1055160101814,462.15394438968065,201.18405079141007,-74.76504063272372,65,23
2023-10-31,-841.7284610948669,448.93286184248336,174.7019985733158,88.73387330110145,62,23
2023-11-01,-106.06308707762508,503.3134589574276,213.14716776224307,113.18270926448471,58,23
2023-11-02,902.3357296298142,503.3759973124458,234.06814084701358,-175.36408165934395,53,23
2023-11-03,1759.7279438004166,567.7656526916452,285.13432101260486,-461.3257750096769,42,23
2023-11-06,1887.2820376277325,573.656228308734,272.52720622764843,-464.12872904820176,46,22
2023-11-07,2395.714573938285,558.0906890767262,325.6254904092016,-476.6937790407191,48,23
