date,gross_notional,net_exposure,open_legs,daily_pnl,daily_trade_flow,cum_pnl
2016-07-07,30369.0,30369.0,22,-171.99999999999937,0.0,-2731.0012607574495
2016-07-08,29403.0,29403.0,22,-966.0000000000009,0.0,-3697.0012607574504
2016-07-11,29785.0,27745.0,24,-637.9999999999997,1020.0,-4335.00126075745
2016-07-12,29529.0,26897.0,28,-1056.0,760.0,-5391.00126075745
2016-07-13,29998.0,26462.0,34,-316.99999999999915,754.0,-5708.001260757449
2016-07-14,29214.0,25560.0,38,-985.0000000000013,213.0,-6693.00126075745
2016-07-15,28316.0,24812.0,38,-748.0,1248.0,-7441.00126075745
2016-07-18,30318.0,26824.0,44,-1039.9999999999995,4606.0,-8481.00126075745
2016-07-19,31321.0,27077.0,46,-111.00000000000023,2367.0,-8592.00126075745
2016-07-20,30952.0,26406.0,44,718.000000000001,522.0,-7874.001260757449
2016-07-21,51560.0,27638.0,50,-413.0000000000002,19935.0,-8287.00126075745
2016-07-22,51269.00040435791,26494.99959564209,50,-1143.0004043579097,1801.0004043579102,-9430.00166511536
2016-07-25,47727.0,27431.0,40,-865.0000000000009,858.0,-10295.00166511536
2016-07-26,46600.0,26342.0,38,-230.99999999999935,777.0,-10526.00166511536
2016-07-27,48209.0,23705.0,38,34.99999999999975,17474.0,-10491.00166511536
2016-07-28,32702.0,7870.0,34,-256.00000000000017,0.0,-10747.00166511536
2016-07-29,26370.99917602539,10073.00082397461,34,2203.00082397461,6138.999176025391,-8544.00084114075
2016-08-01,20342.0,17032.0,26,820.0000000000003,0.0,-7724.000841140751
2016-08-02,20274.0,17124.0,26,91.99999999999952,2876.0,-7632.000841140752
2016-08-03,17195.0,14125.0,24,-122.99999999999986,0.0,-7755.000841140752
2016-08-04,17344.0,14654.0,28,1466.0,937.0,-6289.000841140752
2016-08-05,17364.999305725098,15381.000694274902,28,727.000694274902,2.99930572509765,-5562.000146865849
2016-08-08,17050.0,15146.0,26,-237.99999999999957,0.0,-5800.000146865849
2016-08-09,17158.0,15252.0,26,106.00000000000014,0.0,-5694.000146865849
2016-08-10,17746.0,15530.0,30,138.99999999999994,1660.0,-5555.000146865849
2016-08-11,17088.0,13754.0,30,-403.9999999999999,141.0,-5959.000146865849
2016-08-12,17826.99990081787,12975.000099182129,30,-778.9999008178709,2444.999900817871,-6738.00004768372
2016-08-15,16942.0,16326.0,26,-15.999999999999986,1554.0,-6754.00004768372
2016-08-16,16803.0,16211.0,26,-115.00000000000028,0.0,-6869.00004768372
2016-08-17,16643.0,16109.0,26,-102.00000000000024,0.0,-6971.00004768372
2016-08-18,16602.0,16194.0,26,84.99999999999963,0.0,-6886.00004768372
2016-08-19,16516.99998474121,15985.000015258789,26,-208.99998474121085,265.9999847412109,-7095.000032424931
2016-08-22,16937.0,16937.0,24,-451.9999999999992,1138.0,-7547.00003242493
2016-08-23,25945.0,25945.0,28,45.99999999999953,8962.0,-7501.000032424931
2016-08-24,24578.0,24578.0,28,-1366.9999999999993,0.0,-8868.00003242493
2016-08-25,26210.0,24010.0,30,531.9999999999997,1100.0,-8336.00003242493
2016-08-26,26404.0,24224.0,30,214.0,0.0,-8122.00003242493
2016-08-29,26144.0,24164.0,30,-60.00000000000057,0.0,-8182.000032424931
2016-08-30,25548.0,23368.0,30,-795.999999999999,0.0,-8978.00003242493
2016-08-31,25533.0,23433.0,30,64.99999999999962,2170.0,-8913.00003242493
2016-09-01,27861.0,25981.0,30,312.99999999999943,4405.0,-8600.00003242493
2016-09-02,26970.99917602539,26593.00082397461,30,612.0008239746103,188.99917602539065,-7987.99920845032
2016-09-06,28213.0,28213.0,28,1430.9999999999995,0.0,-6556.999208450321
2016-09-07,27843.0,27843.0,28,-370.0000000000002,0.0,-6926.999208450321
