n_entry,m_exit,n_trades,cum_pnl,avg_pnl,win_rate,avg_ret,med_ret
4,4,492,-65504.48461532596,-133.13919637261372,40.447154471544714,-1.7289016698974158,-16.019765630897755
4,5,493,-55865.484615326,-113.31741301283165,41.98782961460446,-1.900116303522131,-14.642037970915128
4,6,493,-58937.48461532593,-119.54865033534671,40.77079107505071,-3.3644150848712138,-15.555580467864246
4,7,492,-32978.48453903198,-67.0294401199837,40.447154471544714,-2.4365149750831754,-16.295798808754398
4,8,493,-57425.48461532594,-116.48171321567128,41.98782961460446,-3.926793780440522,-16.10738767073458
4,9,493,-83820.48461532593,-170.02126696820676,41.98782961460446,-3.9409236028889234,-17.18295929161877
4,10,493,-87167.48461532593,-176.81031362135076,41.37931034482759,-5.182076822906489,-15.228198672725915
4,11,493,-93391.48461532594,-189.43506007165504,41.37931034482759,-4.908637897740385,-18.892498202743273
4,12,493,-64863.48461532594,-131.56893431100596,42.799188640973625,-3.7223228656084366,-12.430900522819352
4,13,493,-92146.48461532599,-186.90970510208112,41.784989858012175,-3.8484822319455714,-14.16848761474082
4,14,493,-103433.4846153259,-209.80422842865295,40.97363083164301,-4.801019438302283,-15.644068126097796
4,15,493,-94656.48461532593,-192.00098299254753,39.148073022312374,-5.141295414680119,-18.794118356368266
5,1,482,-40537.47698593137,-84.10264934840532,43.77593360995851,1.0154216055044,-15.635337120466096
5,2,484,-20210.47820663452,-41.757186377344055,42.14876033057851,1.7654529964936254,-14.418618277084027
5,3,483,-43702.478816986084,-90.48132260245566,42.857142857142854,0.6815252092147905,-13.621234576963506
5,4,487,-59455.484325408936,-122.08518341973087,41.478439425051334,-0.6568506783977112,-16.346139174241287
5,5,488,-50320.48432540895,-103.11574656846096,42.82786885245902,-0.9597803940288356,-14.007897261361581
5,6,488,-53569.484325408936,-109.77353345370683,42.21311475409836,-2.4189966881493974,-14.900887162361734
5,7,487,-28268.48424911496,-58.046168889353105,41.067761806981515,-1.607961960440008,-15.66266898649286
5,8,488,-53096.484325408936,-108.80427115862487,42.21311475409836,-3.1421275213880024,-15.048860660236604
5,9,488,-79623.48432540895,-163.16287771600196,42.00819672131148,-3.1943855392975857,-16.763204882881027
5,10,488,-83043.48432540888,-170.17107443731328,42.00819672131148,-4.440882924709906,-15.75292802252029
5,11,488,-89113.48432540892,-182.6095990274773,41.18852459016394,-4.17762161665563,-18.391061219868085
5,12,488,-60823.48432540891,-124.63828755206742,43.23770491803279,-2.98019602976964,-13.508889462137821
5,13,488,-88065.48432540894,-180.46205804387077,42.62295081967213,-3.1299565514027714,-11.247524095945323
5,14,488,-99182.48432540888,-203.2427957487887,40.77868852459016,-4.066344636871829,-14.698150463318559
5,15,488,-90321.48432540894,-185.0850088635429,39.75409836065574,-4.335425938444039,-18.75027856163215
6,1,479,-31957.48394393921,-66.71708547795242,43.21503131524008,2.0167568518495713,-15.583177154208789
6,2,480,-27684.48394393921,-57.67600821654002,43.125,2.4254920702014497,-14.907579879889468
6,3,479,-48537.48455429077,-101.33086545780954,43.42379958246347,1.2167493892992858,-12.890609105428046
6,4,483,-65557.49006271362,-135.7297930905044,41.61490683229814,-0.0729130802764692,-15.336879432624114
6,5,484,-54726.49006271365,-113.07126046015217,43.388429752066116,-0.16890719805318935,-14.708888505123774
6,6,484,-57762.49006271362,-119.34398773287938,42.97520661157025,-1.5157213900866535,-14.326375309481618
6,7,483,-32332.489986419678,-66.94097305676952,41.821946169772254,-0.6818084260706483,-14.494530186868182
6,8,484,-51384.49006271362,-106.16630178246616,42.14876033057851,-2.0629587659399165,-13.66151763145405
6,9,484,-72673.49006271364,-150.15183897254883,42.768595041322314,-2.042146335231287,-16.750261518266893
6,10,484,-73264.4900627136,-151.37291335271405,43.388429752066116,-3.163686236834446,-14.871486318960946
6,11,484,-78087.49006271362,-161.33778938577194,40.909090909090914,-2.801613905748871,-16.482918082775868
6,12,484,-49822.49006271362,-102.93902905519343,43.595041322314046,-1.6000382182232127,-12.935541205370065
6,13,484,-76482.49006271362,-158.02167368329262,42.768595041322314,-1.7877088056512833,-12.340396867600603
6,14,484,-81942.49006271364,-169.30266541882983,41.52892561983471,-2.557873006471303,-11.710336733165768
6,15,484,-72753.49006271362,-150.31712822874715,41.11570247933884,-2.8991070936533485,-17.79758913780516
7,1,470,-16683.48603439331,-35.49677879658151,43.61702127659575,3.295784816431315,-14.231775081770246
7,2,471,-13175.48603439331,-27.973431070898748,43.31210191082803,3.663966597587954,-13.216045599645668
7,3,470,-32399.486644744902,-68.93507796754234,43.61702127659575,2.6251520660391545,-12.639564047594636
7,4,474,-49270.492153167725,-103.9461859771471,41.983122362869196,1.4456970930173865,-15.10997476758319
7,5,475,-37036.492153167754,-77.9715624277216,44.0,1.469604091089527,-11.834328555496489
7,6,475,-39784.49215316771,-83.75682558561623,42.73684210526316,0.16661797808935694,-14.152041429664655
7,7,474,-14260.492076873765,-30.08542632251849,42.19409282700422,1.0600396337768638,-14.831554510185686
7,8,475,-33404.492153167725,-70.32524663824785,42.31578947368421,-0.38470207908159626,-14.476580715391862
7,9,475,-54343.492153167725,-114.40735190140573,42.73684210526316,-0.3593621281746896,-15.055140327004827
7,10,475,-55000.492153167725,-115.79050979614257,42.73684210526316,-1.6321389585466166,-14.201165374214128
7,11,475,-57919.492153167725,-121.93577295403732,41.26315789473684,-1.206583644837048,-14.558783138499539
7,12,475,-28555.492153167725,-60.11682558561626,43.57894736842105,0.1277900442753211,-11.662992828436828
7,13,475,-54524.492153167754,-114.78840453298474,44.0,-0.03398165541525247,-10.471280881871749
7,14,475,-59239.492153167725,-124.71472032245836,42.526315789473685,-0.8141651621077194,-12.142818995884488
7,15,475,-50777.492153167725,-106.8999834803531,42.10526315789473,-1.3873737891330498,-17.57477921900955
8,1,469,15905.514270782485,33.91367648354475,44.349680170575695,5.203147826535107,-13.375835054239621
8,2,470,19377.51427078247,41.22875376762228,44.04255319148936,5.453987125836948,-12.34595756973767
8,3,469,-233.48633956910635,-0.49783867711962976,44.349680170575695,4.315582664695427,-10.461519681490385
8,4,473,-17483.491847991914,-36.962984879475506,42.071881606765324,3.1243389675915734,-13.496568291183566
8,5,474,-5028.491847991943,-10.608632590700303,44.51476793248945,3.2010014774281776,-13.689197872986192
8,6,474,-7916.491847991943,-16.70145959491971,43.67088607594937,1.9083927865867325,-11.730427706670941
8,7,473,17414.508228302046,36.8171421317168,43.34038054968288,2.796199613242014,-13.304029311882545
8,8,474,-1605.4918479919434,-3.3871136033585305,43.88185654008439,1.276257774011253,-11.666152344445232
8,9,474,-22580.491847991958,-47.638168455679235,43.88185654008439,1.2603486237668722,-11.946096490466772
8,10,474,-23786.491847991943,-50.18247225314756,43.459915611814345,-0.09830409482991073,-12.461020031164495
8,11,474,-26592.491847991943,-56.10230347677625,42.405063291139236,0.33760973294396246,-14.639844123927277
8,12,474,2764.5081520080566,5.832295679341891,44.303797468354425,1.702086433918204,-8.568761553396067
8,13,474,-23233.491847991958,-49.01580558648092,44.09282700421941,1.4507734463992954,-10.544737752220147
8,14,474,-27860.491847991885,-58.777408962008195,43.67088607594937,0.716431823975629,-12.11462951315527
8,15,474,-19479.491847991943,-41.0959743628522,42.405063291139236,0.19470429049706503,-16.11974953746593
9,1,467,14036.513446807861,30.056773976033963,44.3254817987152,6.100694954168278,-13.101587958514413
9,2,468,17133.513446807847,36.610071467538134,44.65811965811966,6.403760599162258,-12.222918880859265
9,3,467,846.5128364562697,1.8126613200348387,44.53961456102783,5.536857387323562,-10.023829931291033
9,4,471,-16202.492671966553,-34.40019675576763,42.88747346072187,4.229557773170751,-12.999984741210938
9,5,472,-4087.492671966582,-8.659942101624114,44.91525423728814,4.179454127651881,-11.961960679516366
9,6,472,-4712.492671966567,-9.984094643996965,44.91525423728814,2.837241837745264,-12.837289380582142
9,7,471,19152.507404327393,40.66349767373119,43.31210191082803,3.6071845343533164,-12.50001907348633
9,8,472,-209.49267196655273,-0.44384040670879815,44.06779661016949,2.0320777187111463,-10.24839051622228
9,9,472,-21742.492671966553,-46.0646031185732,43.43220338983051,1.8882860999176567,-11.353810343310514
9,10,472,-22632.492671966553,-47.950196338912185,43.85593220338983,0.6139507986499283,-12.562576060581371
9,11,472,-25064.492671966553,-53.10273871179354,43.00847457627119,1.2085086919333246,-15.460149977645763
9,12,472,5137.507328033447,10.884549423799676,43.64406779661017,2.6873448876352803,-8.30337251502921
9,13,472,-19303.492671966582,-40.897230237217336,44.91525423728814,2.490590025826027,-9.656117625595364
9,14,472,-24129.492671966524,-51.12180650840365,43.43220338983051,1.712808667442209,-10.843790414058972
9,15,472,-15103.492671966553,-31.99892515247151,41.94915254237288,1.143498727432782,-15.122212292676299
10,1,461,31157.5131568909,67.58679643577202,45.33622559652928,7.758975152066914,-12.025339633603615
10,2,462,34923.51315689087,75.59201982011011,44.58874458874459,8.323622958660504,-12.465783015080927
10,3,461,18507.512546539307,40.14644804021542,44.90238611713666,7.422521685499529,-9.594578098606418
10,4,465,671.5070381164842,1.4441011572397509,43.655913978494624,6.123489168020948,-13.496568291183566
10,5,466,12934.507038116426,27.756452871494478,45.06437768240343,6.043446440545081,-11.948391253433009
10,6,466,11932.507038116455,25.60623827921986,45.27896995708154,4.67242819270621,-12.103375267168147
10,7,465,35402.50711441043,76.13442390195792,42.795698924731184,5.4714059035020925,-11.341495048709016
10,8,466,16377.507038116484,35.144864888661985,44.4206008583691,3.775609220214149,-10.160249520393856
10,9,466,-4639.492961883545,-9.955993480436792,43.34763948497854,3.816182440539762,-9.990765033545127
10,10,466,-4448.492961883545,-9.5461222358016,44.20600858369099,2.51948432335719,-11.753638782086067
10,11,466,-5970.492961883545,-12.812216656402457,43.56223175965665,3.2440155255221987,-13.951387628549869
10,12,466,25175.507038116455,54.02469321484218,45.27896995708154,4.861705125846212,-8.278121011167883
10,13,466,1093.507038116455,2.346581626859346,45.70815450643777,4.718513220097813,-7.382990670969745
10,14,466,-2567.492961883516,-5.509641549106257,45.493562231759654,4.046759192757573,-8.91887258332185
10,15,466,4496.50703811647,9.649156734155515,42.70386266094421,3.186206676495926,-14.135721831845993
11,1,457,60512.521350860625,132.4125193673099,45.51422319474836,10.246563044178552,-10.228060744096105
11,2,458,61272.52135086061,133.78279770930266,46.288209606986904,10.855694943715777,-9.389521497822372
11,3,457,38257.52074050903,83.71448739717513,44.63894967177243,9.825324344425287,-7.679803056119529
11,4,461,21512.51523208624,46.66489204357102,44.46854663774403,8.719464837255568,-11.316567642682084
11,5,462,29779.515232086167,64.45782517767569,45.45454545454545,8.616019309125463,-9.174103518932586
11,6,462,35886.515232086196,77.67643989629047,44.37229437229438,7.24274412669133,-9.48442533247797
11,7,461,57883.51530838014,125.56077073401332,44.46854663774403,8.236008723657285,-10.815393014015548
11,8,462,44086.51523208621,95.42535764520825,45.887445887445885,6.491137530891984,-7.751889301541065
11,9,462,24453.51523208621,52.92968664953725,45.02164502164502,6.505261318369303,-8.747904989169008
11,10,462,25282.51523208621,54.72405894390955,44.58874458874459,5.118752743242487,-10.316758250876482
11,11,462,27036.51523208621,58.520595740446346,44.58874458874459,5.934227878352897,-9.594720341997759
11,12,462,57420.51523208621,124.2868295066801,46.96969696969697,7.600917096991886,-5.062271784995874
11,13,462,35482.51523208617,76.80198102183154,47.4025974025974,7.389615815629547,-6.153232500484405
11,14,462,30122.515232086225,65.20024942010005,46.53679653679654,6.649312497744464,-8.255788126372687
11,15,462,34843.51523208618,75.41886413871468,44.37229437229438,5.727249577429693,-11.634196305306371
12,1,450,113630.52058792116,252.51226797315812,46.0,11.227109385848106,-10.431094394327937
