ticker,earn_dt,short_entry_dt,long_entry_dt,short_exit_dt,long_exit_dt,sc_entry,sp_entry,lc_entry,lp_entry,sc_exit,sp_exit,lc_exit,lp_exit,short_credit,short_debit,short_pnl,long_debit,long_credit,long_pnl,net_premium,total_pnl,return_pct
AAPL,2022-01-27,2022-01-20,2022-01-20,2022-01-28,2022-04-27,4.0,4.35,13.8,14.0,5.3300018310546875,0.0,3.0,11.55,835.0,533.0001831054688,301.99981689453125,2780.0,1455.0,-1325.0,1945.0,-1023.0001831054688,-52.59641044244056
AAPL,2022-04-28,2022-04-21,2022-04-21,2022-04-29,2022-07-27,4.9,3.5,14.15,11.15,0.0,7.350006103515625,1.58,9.25,840.0,735.0006103515625,104.9993896484375,2530.0,1083.0,-1447.0,1690.0,-1342.0006103515625,-79.4083201391457
AAPL,2022-07-28,2022-07-21,2022-07-21,2022-07-29,2022-10-26,4.1,3.7,12.1,10.7,7.5099945068359375,0.0,3.45,8.95,780.0,750.9994506835938,29.00054931640625,2279.9999999999995,1239.9999999999998,-1039.9999999999998,1499.9999999999995,-1010.9994506835935,-67.39996337890626
AAPL,2022-10-27,2022-10-20,2022-10-20,2022-10-28,2023-02-01,3.25,4.8,12.0,12.1,10.740005493164062,0.0,4.5,4.0,805.0000000000001,1074.0005493164062,-269.00054931640614,2410.0,850.0,-1560.0,1605.0,-1829.0005493164062,-113.95642051815615
AAPL,2023-02-02,2023-01-26,2023-01-26,2023-02-03,2023-05-03,3.05,3.95,9.45,8.95,9.5,0.0,22.5,0.34,700.0,950.0,-250.0,1839.9999999999998,2284.0,444.0000000000002,1139.9999999999998,194.00000000000023,17.017543859649145
AAPL,2023-05-04,2023-04-27,2023-04-27,2023-05-05,2023-08-02,2.79,4.15,10.15,9.7,3.57000732421875,0.0,22.85,0.29,694.0,357.000732421875,336.999267578125,1985.0000000000002,2314.0,328.9999999999998,1291.0000000000002,665.9992675781248,51.58785961100888
AAPL,2023-08-03,2023-07-27,2023-07-27,2023-08-04,2023-11-01,2.98,4.5,10.0,9.1,0.0,13.009994506835938,0.06,20.9,748.0,1300.9994506835938,-552.9994506835938,1910.0000000000002,2095.9999999999995,185.99999999999932,1162.0000000000002,-366.99945068359443,-31.58342949084289
AAPL,2023-11-02,2023-10-26,2023-10-26,2023-11-03,2024-01-31,5.3,3.25,12.75,8.55,11.649993896484375,0.0,19.8,0.36,855.0000000000001,1164.9993896484375,-309.9993896484374,2130.0,2016.0,-114.0,1275.0,-423.9993896484374,-33.25485409007352
AAPL,2024-02-01,2024-01-25,2024-01-25,2024-02-02,2024-05-01,3.3,3.95,10.1,8.3,0.0,9.149993896484375,0.17,25.25,725.0,914.9993896484375,-189.9993896484375,1839.9999999999998,2542.0,702.0000000000002,1114.9999999999998,512.0006103515627,45.91933725126124
AAPL,2024-05-02,2024-04-25,2024-04-25,2024-05-03,2024-07-31,3.85,3.7,10.55,8.3,13.3800048828125,0.0,51.2,0.07,755.0000000000001,1338.00048828125,-583.0004882812499,1885.0000000000002,5127.0,3242.0,1130.0,2658.99951171875,235.30969130254425
AAPL,2024-08-01,2024-07-25,2024-07-25,2024-08-02,2024-10-30,4.15,6.3,13.55,12.9,0.0,0.1399993896484375,12.35,2.52,1045.0,13.99993896484375,1031.0000610351562,2645.0000000000005,1487.0,-1158.0000000000005,1600.0000000000005,-126.9999389648442,-7.93749618530276
AAPL,2024-10-31,2024-10-24,2024-10-24,2024-11-01,2025-01-29,5.0,4.15,14.85,11.05,0.0,7.089996337890625,13.3,3.55,915.0,708.9996337890625,206.0003662109375,2590.0,1685.0000000000002,-904.9999999999998,1675.0,-698.9996337890623,-41.73132142024252
AAPL,2025-01-30,2025-01-23,2025-01-23,2025-01-31,2025-04-30,7.5,3.6,15.9,9.5,16.0,0.0,3.45,10.8,1110.0,1600.0,-490.0,2540.0,1425.0,-1115.0,1430.0,-1605.0,-112.23776223776223
AAPL,2025-05-01,2025-04-24,2025-04-24,2025-05-02,2025-07-30,5.05,6.5,15.65,15.0,0.0,4.649993896484375,5.6,6.35,1155.0,464.9993896484375,690.0006103515625,3065.0,1195.0,-1870.0,1910.0,-1179.9993896484375,-61.7800727564627
AAPL,2025-07-31,2025-07-24,2025-07-24,2025-08-01,2025-10-29,7.0,2.97,16.5,10.1,0.0,7.6199951171875,59.4,0.12,997.0000000000001,761.99951171875,235.0004882812501,2660.0,5952.0,3292.0,1663.0,3527.00048828125,212.08661986056825
AAPL,2025-10-30,2025-10-23,2025-10-23,2025-10-31,2026-01-28,5.25,5.35,16.8,14.05,10.3699951171875,0.0,5.95,8.65,1060.0,1036.99951171875,23.00048828125,3085.0,1460.0000000000002,-1624.9999999999998,2025.0,-1601.9995117187498,-79.11108699845678
AAPL,2026-01-29,2026-01-22,2026-01-22,2026-01-30,2026-04-30,4.8,6.25,22.05,19.05,9.480010986328125,0.0,31.3,7.4,1105.0,948.0010986328125,156.9989013671875,4110.0,3870.0000000000005,-239.99999999999955,3005.0,-83.00109863281205,-2.7620997881135456
ABNB,2021-02-25,2021-02-18,2021-02-18,2021-02-26,2021-05-13,11.55,13.4,32.8,34.65,6.350006103515625,0.0,0.29,61.8,2495.0000000000005,635.0006103515625,1859.999389648438,6744.999999999999,6209.0,-535.9999999999991,4249.999999999998,1323.9993896484389,31.1529268152574
ABNB,2021-05-14,2021-05-07,2021-06-17,2021-05-21,2021-08-11,9.2,8.15,12.55,12.25,0.0,15.289993286132812,4.35,6.2,1735.0000000000002,1528.9993286132812,206.00067138671898,2480.0,1055.0,-1425.0,744.9999999999998,-1218.999328613281,-163.62407095480287
ABNB,2021-08-12,2021-08-05,2021-09-10,2021-08-13,2021-11-03,5.55,5.2,21.1,5.55,2.7599945068359375,0.0,23.6,1.01,1075.0,275.99945068359375,799.0005493164062,2665.0,2461.0000000000005,-203.99999999999955,1590.0,595.0005493164067,37.421418196000424
ABNB,2021-11-04,2021-10-28,2021-10-28,2021-11-05,2022-02-14,7.15,5.65,16.75,14.95,31.6199951171875,0.0,7.7,7.9,1280.0,3161.99951171875,-1881.99951171875,3170.0,1560.0000000000002,-1609.9999999999998,1890.0,-3491.99951171875,-184.761878926918
ABNB,2022-02-15,2022-02-08,2022-02-08,2022-02-18,2022-05-02,9.3,7.1,19.55,16.7,14.899993896484375,0.0,7.65,14.5,1639.9999999999998,1489.9993896484375,150.00061035156227,3625.0,2215.0,-1410.0,1985.0000000000002,-1259.9993896484377,-63.47603978077772
