ticker,earn_dt,next_earn,entry_dt,short_exp,long_exp,spot,strike,short_call,short_put,long_call,long_put
NVDA,2023-08-23,2023-11-21,2023-08-16,2023-08-25,2023-12-15,434.86000061035156,430.0,NVDA  230825C00430000,NVDA  230825P00430000,NVDA  231215C00430000,NVDA  231215P00430000
NVDA,2023-11-21,2024-02-21,2023-11-14,2023-11-24,2024-03-15,496.5599822998047,500.0,NVDA  231124C00500000,NVDA  231124P00500000,NVDA  240315C00500000,NVDA  240315P00500000
NVDA,2024-02-21,2024-05-22,2024-02-14,2024-02-23,2024-06-21,739.0000152587891,750.0,NVDA  240223C00750000,NVDA  240223P00750000,NVDA  240621C00750000,NVDA  240621P00750000
NVDA,2024-05-22,2024-08-28,2024-05-15,2024-05-24,2024-09-20,946.2999725341797,950.0,NVDA  240524C00950000,NVDA  240524P00950000,NVDA  240920C00950000,NVDA  240920P00950000
NVDA,2024-08-28,2024-11-20,2024-08-21,2024-08-30,2024-12-20,128.5,130.0,NVDA  240830C00130000,NVDA  240830P00130000,NVDA  241220C00130000,NVDA  241220P00130000
NVDA,2024-11-20,2025-02-26,2024-11-13,2024-11-22,2025-03-21,146.27000427246094,145.0,NVDA  241122C00145000,NVDA  241122P00145000,NVDA  250321C00145000,NVDA  250321P00145000
NVDA,2025-02-26,2025-05-28,2025-02-19,2025-02-28,2025-06-20,139.22999572753906,140.0,NVDA  250228C00140000,NVDA  250228P00140000,NVDA  250620C00140000,NVDA  250620P00140000
NVDA,2025-05-28,2025-08-27,2025-05-21,2025-05-30,2025-09-19,131.8000030517578,130.0,NVDA  250530C00130000,NVDA  250530P00130000,NVDA  250919C00130000,NVDA  250919P00130000
NVDA,2025-08-27,2025-11-19,2025-08-20,2025-08-29,2025-11-21,175.39999389648438,175.0,NVDA  250829C00175000,NVDA  250829P00175000,NVDA  251121C00175000,NVDA  251121P00175000
NVDA,2025-11-19,2026-02-25,2025-11-12,2025-11-21,2026-03-20,193.8000030517578,195.0,NVDA  251121C00195000,NVDA  251121P00195000,NVDA  260320C00195000,NVDA  260320P00195000
NVDA,2026-02-25,2026-05-20,2026-02-18,2026-02-27,2026-06-19,187.97999572753906,190.0,NVDA  260227C00190000,NVDA  260227P00190000,NVDA  260619C00190000,NVDA  260619P00190000
ORCL,2016-03-15,2016-06-16,2016-03-08,2016-03-18,2016-06-17,38.150001525878906,37.5,ORCL  160318C00037500,ORCL  160318P00037500,ORCL  160617C00037500,ORCL  160617P00037500
ORCL,2016-06-16,2016-09-15,2016-06-09,2016-06-17,2016-09-16,39.04999923706055,40.0,ORCL  160617C00040000,ORCL  160617P00040000,ORCL  160916C00040000,ORCL  160916P00040000
ORCL,2016-09-15,2016-12-15,2016-09-08,2016-09-16,2016-12-16,40.720001220703125,40.0,ORCL  160916C00040000,ORCL  160916P00040000,ORCL  161216C00040000,ORCL  161216P00040000
ORCL,2016-12-15,2017-03-15,2016-12-08,2016-12-16,2017-03-17,40.349998474121094,40.0,ORCL  161216C00040000,ORCL  161216P00040000,ORCL  170317C00040000,ORCL  170317P00040000
ORCL,2017-03-15,2017-06-21,2017-03-08,2017-03-17,2017-07-21,42.61000061035156,42.5,ORCL  170317C00042500,ORCL  170317P00042500,ORCL  170721C00042500,ORCL  170721P00042500
ORCL,2017-06-21,2017-09-14,2017-06-14,2017-06-23,2017-09-15,44.810001373291016,45.0,ORCL  170623C00045000,ORCL  170623P00045000,ORCL  170915C00045000,ORCL  170915P00045000
ORCL,2017-09-14,2017-12-14,2017-09-07,2017-09-15,2017-12-15,51.72999954223633,50.0,ORCL  170915C00050000,ORCL  170915P00050000,ORCL  171215C00050000,ORCL  171215P00050000
ORCL,2017-12-14,2018-03-19,2017-12-07,2017-12-15,2018-04-20,48.52000045776367,47.5,ORCL  171215C00047500,ORCL  171215P00047500,ORCL  180420C00047500,ORCL  180420P00047500
